epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1027,3.45807,3.92162,1.32919,0.61378,0.18807,0.1827,0.08035,3.14812,2.99891,1.22494,0.000474924,0.000474924,0.000474924
2,113.14,3.13008,2.71051,1.19249,0.59128,0.10334,0.12363,0.05565,3.15245,2.69547,1.15289,0.000932422,0.000932422,0.000932422
3,168.776,3.04136,2.47292,1.18127,0.27783,0.24972,0.20198,0.09025,2.89819,2.36869,1.13574,0.00137106,0.00137106,0.00137106
4,225.545,2.95058,2.33733,1.148,0.60187,0.23339,0.18316,0.07031,2.94605,2.34096,1.13726,0.00134412,0.00134412,0.00134412
5,282.015,2.84975,2.22423,1.11035,0.30154,0.29747,0.24166,0.1055,2.82973,2.23902,1.15169,0.00131582,0.00131582,0.00131582
6,337.864,2.82039,2.15658,1.11121,0.43824,0.20614,0.09314,0.04219,3.49333,7.4969,1.55494,0.00128753,0.00128753,0.00128753
