epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8141,2.91314,4.00662,1.52501,0.81228,0.09091,0.06375,0.02824,2.16763,2.91469,1.21134,0.00041523,0.00041523,0.00041523
2,134.633,2.15465,3.00582,1.16553,0.39196,0.24904,0.13289,0.06947,2.04533,2.59395,1.15383,0.000804444,0.000804444,0.000804444
3,202.484,1.9395,2.61755,1.11058,0.22372,0.23722,0.2104,0.10475,1.98727,2.4459,1.15196,0.00116616,0.00116616,0.00116616
4,279.557,1.84595,2.51666,1.07419,0.43298,0.23291,0.21212,0.11205,1.72639,2.31978,1.06002,0.00112625,0.00112625,0.00112625
