epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.763,2.14232,1.81341,0.96238,0.64221,0.32054,0.2923,0.12567,2.14788,1.59127,0.96644,0.00036979,0.00036979,0.00036979
2,656.298,2.17458,1.59739,0.97022,0.60293,0.30014,0.26316,0.1167,2.17338,1.67359,0.98602,0.000725469,0.000725469,0.000725469
3,982.707,2.21988,1.60733,0.97353,0.59759,0.32581,0.28199,0.12783,2.19062,1.61061,0.98783,0.00106648,0.00106648,0.00106648
4,1308.73,2.26057,1.66099,0.97231,0.59192,0.31433,0.27962,0.12143,2.22241,1.60392,0.98624,0.00104501,0.00104501,0.00104501
5,1633.5,2.2221,1.61523,0.97304,0.50537,0.2898,0.20502,0.096,2.31949,2.26761,1.02688,0.00102301,0.00102301,0.00102301
6,1958.15,2.206,1.61794,0.97272,0.59482,0.30796,0.26437,0.11637,2.22483,1.62438,0.98531,0.00100101,0.00100101,0.00100101
7,2285.84,2.21001,1.61403,0.97221,0.60815,0.3124,0.28226,0.12302,2.20488,1.57801,0.9839,0.000979013,0.000979013,0.000979013
8,2614.17,2.21161,1.591,0.9717,0.49261,0.25685,0.15228,0.06395,2.34568,2.26758,1.01939,0.000957015,0.000957015,0.000957015
9,2940.87,2.21015,1.59681,0.97681,0.5895,0.32617,0.28515,0.12141,2.18744,1.5607,0.97648,0.000935018,0.000935018,0.000935018
