epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21574.4,1.80016,1.39634,1.05286,0.63709,0.38566,0.34104,0.16387,1.82096,1.47271,1.05714,0.000660045,0.000660045,0.000660045
43,22089.9,1.79979,1.3973,1.05308,0.61646,0.35471,0.31765,0.15468,1.83338,1.50942,1.07071,0.000649046,0.000649046,0.000649046
44,22604.3,1.79568,1.38789,1.04657,0.64621,0.37347,0.33478,0.16112,1.83711,1.48971,1.06685,0.000638047,0.000638047,0.000638047
45,23119.7,1.78792,1.38125,1.04444,0.62502,0.36776,0.33068,0.16228,1.82987,1.50156,1.07021,0.000627048,0.000627048,0.000627048
46,23634.9,1.77438,1.3646,1.04693,0.61061,0.37292,0.31917,0.15766,1.82787,1.52393,1.06812,0.000616049,0.000616049,0.000616049
47,24150,1.7812,1.38182,1.04123,0.61201,0.36976,0.32196,0.15641,1.80415,1.47782,1.06179,0.000605051,0.000605051,0.000605051
48,24665.8,1.77219,1.3689,1.03779,0.64234,0.40093,0.34714,0.1673,1.81437,1.47081,1.06042,0.000594052,0.000594052,0.000594052
49,25182.4,1.75048,1.33534,1.04335,0.61366,0.36643,0.31591,0.15682,1.82069,1.50525,1.06629,0.000583053,0.000583053,0.000583053
50,25698,1.75659,1.34043,1.04142,0.65944,0.37898,0.33077,0.16301,1.80249,1.48504,1.05754,0.000572054,0.000572054,0.000572054
51,26213.1,1.76001,1.34408,1.03713,0.64221,0.36738,0.33002,0.15633,1.81705,1.46165,1.06033,0.000561055,0.000561055,0.000561055
52,26728.5,1.73439,1.32394,1.03214,0.68638,0.36639,0.33736,0.16179,1.81079,1.45789,1.0574,0.000550056,0.000550056,0.000550056
53,27244,1.74433,1.32759,1.02506,0.66904,0.35988,0.33594,0.16249,1.81005,1.47014,1.05347,0.000539057,0.000539057,0.000539057
54,27760.4,1.71111,1.30603,1.03388,0.63319,0.39056,0.33143,0.16057,1.81487,1.4379,1.05768,0.000528058,0.000528058,0.000528058
55,28275.3,1.74214,1.31611,1.02609,0.63989,0.36977,0.32959,0.16039,1.81963,1.46789,1.05972,0.000517059,0.000517059,0.000517059
56,28790.7,1.7345,1.31472,1.02703,0.63941,0.3644,0.32501,0.15633,1.82845,1.51019,1.06321,0.00050606,0.00050606,0.00050606
57,29305.4,1.73475,1.30803,1.02094,0.65694,0.35924,0.3385,0.16337,1.82059,1.46209,1.06248,0.000495062,0.000495062,0.000495062
58,29819.7,1.70428,1.28409,1.02317,0.64193,0.39363,0.3339,0.16252,1.81296,1.46613,1.05551,0.000484063,0.000484063,0.000484063
